month,age_group,card_tpbuz_nm_2,amt
202304,60대+,간이주점,3376041816
202304,60대+,고기요리,26659602977
202304,60대+,디저트/음료,19787669486
202304,60대+,별식/퓨전요리,5183126324
202304,60대+,분식,7693726795
202304,60대+,양식,1935444553
202304,60대+,일식/수산물,18863629376
202304,60대+,중식,4500681024
202304,60대+,패스트푸드,3345528106
202304,60대+,한식,58012097420
202305,20대,간이주점,13188236515
202305,20대,고기요리,22379871101
202305,20대,디저트/음료,22134525683
202305,20대,별식/퓨전요리,3454028362
202305,20대,분식,6092142470
202305,20대,양식,3802892933
202305,20대,일식/수산물,8360867361
202305,20대,중식,3912074731
202305,20대,패스트푸드,7764529762
202305,20대,한식,35225469727
202305,30대,간이주점,13204383603
202305,30대,고기요리,36999426206
202305,30대,디저트/음료,36989651652
202305,30대,별식/퓨전요리,6269676522
202305,30대,분식,10508226614
202305,30대,양식,6600356378
202305,30대,일식/수산물,16338099892
202305,30대,중식,7037634352
202305,30대,패스트푸드,10460316473
202305,30대,한식,62492576387
202305,40대,간이주점,13401945345
202305,40대,고기요리,50520416670
202305,40대,디저트/음료,46976436512
202305,40대,별식/퓨전요리,8574663957
202305,40대,분식,16177086650
202305,40대,양식,7816612790
202305,40대,일식/수산물,23707995453
202305,40대,중식,10177846370
202305,40대,패스트푸드,12526865099
202305,40대,한식,84707716058
202305,50대,간이주점,9581154575
202305,50대,고기요리,46031206578
202305,50대,디저트/음료,35508962605
202305,50대,별식/퓨전요리,7833335149
202305,50대,분식,13585575501
202305,50대,양식,4681688530
202305,50대,일식/수산물,24924795590
202305,50대,중식,7924903662
202305,50대,패스트푸드,8270279881
202305,50대,한식,83821497774
